"nameCompany","streetAddress","postalCode","addressLocality"
"ALDI SÜD","Rundfunkplatz 4","80335","München"
"ALDI SÜD","Lechhauser Str. 15a","86153","Augsburg"
"ALDI SÜD","Königstr. 83 - 87","90402","Nürnberg"
"ALDI SÜD","Am Stellwerk 1","70197","Stuttgart-West"
"ALDI SÜD","Kleingemünder Str. 76-82","69118","Heidelberg"
"ALDI SÜD","Theodor-Rehbock-Str. 17","76131","Karlsruhe"
"ALDI SÜD","Otto-Stabel-Str. 3","67059","Ludwigshafen"
"ALDI SÜD","Untermühlaustr. 111","68169","Mannheim"
"ALDI SÜD","Schiffstr. 7","79098","Freiburg"
"ALDI SÜD","Hanauer Landstr. 285","60314","Frankfurt"
"ALDI SÜD","Dr.-Martin-Luth.-King-W. 20","55122","Mainz"
"ALDI SÜD","Luisenstr. 28","65185","Wiesbaden-Innenstadt"
"ALDI SÜD","Am Torhaus 43","66113","Saarbrücken"
"ALDI SÜD","Kölnstr. 102","53111","Bonn"
"ALDI SÜD","Neusser Str. 108-112a","50670","Köln"
"ALDI SÜD","Overfeldweg 7","51371","Leverkusen"
"ALDI SÜD","Fleher Str. 40","40223","Düsseldorf"
"ALDI SÜD","Oberstr. 93","41460","Neuss"
"ALDI SÜD","Franzstr. 2","52064","Aachen"
"ALDI SÜD","Humboldtring 5 (RRZ)","45472","Mülheim an der Ruhr"
"Aldi Süd","Hans-Böckler-Pl. 1-31","45468","Mülheim an der Ruhr"
"ALDI SÜD","Rolandstr. 25","46045","Oberhausen"
"Aldi Süd","Krefelder Str. 70","41063","Mönchengladbach"
"ALDI SÜD","Flutweg 125","47228","Duisburg"
"ALDI SÜD","Kleinewefersstr. 50","47803","Krefeld"
"ALDI SÜD","Am Reitstück 1","36381","Schlüchtern"
"ALDI SÜD","Krautacker 3","36115","Hilders"
"ALDI SÜD","Fuldaer Str. 21","36119","Neuhof"
"ALDI SÜD","Fuldaer Str. 23","36124","Eichenzell"
"ALDI SÜD","In den Gründen 4","36093","Künzell"
"ALDI SÜD","Keltenstr. 20","36043","Fulda-Kaiserwiesen"
"Aldi Süd","Alte Ziegelei 3","36100","Petersberg"
"ALDI SÜD","Am Emaillierwerk 1","36043","Fulda, Emaillierwerk"
"ALDI SÜD","Kothenbachweg 2-4","36041","Fulda"
"ALDI SÜD","Leipziger Str. 126 a","36037","Fulda"
"ALDI SÜD","Gartau 14","36039","Fulda-Horas"
"ALDI SÜD","Am Sportplatz 1","36367","Wartenberg"
"ALDI SÜD","An der Gall 1","36341","Lauterbach"
"ALDI SÜD","Philipp-Reis-Str. 18","35321","Laubach"
"ALDI SÜD","Am Keltenhof 1","35510","Butzbach"
"ALDI SÜD","Carl-Benz-Ring 2","35423","Lich"
"ALDI SÜD","Londorfer Str. 47","35305","Grünberg"
"ALDI SÜD","Am Lindenbaum 6","35428","Langgöns"
"ALDI SÜD","Neue Mitte 1","35415","Pohlheim"
"ALDI SÜD","Siemensstr. 4-6","35447","Reiskirchen"
"ALDI SÜD","Beuerner Weg 23","35418","Buseck"
"ALDI SÜD","Carl-Benz-Str. 1","35440","Linden"
"ALDI SÜD","Schiffenberger Weg 106","35394","Gießen"
"ALDI SÜD","Budenweisgraben 4","35625","Hüttenberg"
"ALDI SÜD","Oberlachweg 7","35394","Gießen"
"ALDI SÜD","Bahnhofstr. 66","35390","Gießen"
"ALDI SÜD","Weilstr. 96","35789","Weilmünster"
"ALDI SÜD","Wellergasse 31","35582","Wetzlar"
"ALDI SÜD","Krofdorfer Str. 89","35398","Gießen"
"ALDI SÜD","Auf dem langen Furt 9-11","35452","Heuchelheim"
"ALDI SÜD","Elsa-Brandström-Str. 1","35578","Wetzlar"
"ALDI SÜD","Auweg 6","35457","Lollar"
"ALDI SÜD","Westendstr. 4 a","35578","Wetzlar"
"Aldi Süd","Alte Str. 4","35578","Wetzlar"
"ALDI SÜD","Altenberger Str. 34","35576","Wetzlar"
"ALDI SÜD","Naunheimer Str. 36a","35576","Wetzlar"
"ALDI SÜD","Solmser Gewerbepark 2","35606","Solms"
"ALDI SÜD","Walbergraben 6","35614","Aßlar"
"ALDI SÜD","Viehweg 12","35781","Weilburg"
"ALDI SÜD","In der Au 6","35764","Sinn"
"ALDI SÜD","Bonner Str. 2c","51379","Leverkusen"
"ALDI SÜD","Am Wallgraben 2","42799","Leichlingen"
"ALDI SÜD","Ohligser Str. 16","40764","Langenfeld (Rheinland)"
"ALDI SÜD","Hardt 5","40764","Langenfeld"
"ALDI SÜD","Hauptstr. 32","40764","Langenfeld"
"ALDI SÜD","Galerieplatz 1","40764","Langenfeld"
"ALDI SÜD","Am Wald 23","40789","Monheim"
"ALDI SÜD","Immigrather Str. 10","40764","Langenfeld"
"ALDI SÜD","Rathausplatz 10","40789","Monheim"
"ALDI SÜD","Benzstr. 15","40789","Monheim"
"ALDI SÜD","Ahrweg 1","41540","Dormagen"
"ALDI SÜD","Walder Str. 285","40724","Hilden"
"ALDI SÜD","Carlo-Schmid-Str. 2","40595","Düsseldorf"
"ALDI SÜD","Geschwister-Scholl-Str. 69c","40789","Monheim"
"ALDI SÜD","Richrather Str. 126","40723","Hilden"
"ALDI SÜD","Kölner Str. 96","41539","Dormagen"
"ALDI SÜD","Am Kronengarten 6","40721","Hilden"
"ALDI SÜD","Kurt-Schumacher-Str. 1","40595","Düsseldorf"
"ALDI SÜD","Mathias-Giesen-Str. 20","41540","Dormagen"
"ALDI SÜD","Gerresheimer Str. 95","40721","Hilden"
"ALDI SÜD","Beckhauser Str. 16","40699","Erkrath"
"ALDI SÜD","Paulsmühlenstr. 20","40597","Düsseldorf"
"ALDI SÜD","Bahnstr. 44-46","41569","Rommerskirchen"
"ALDI SÜD","Niermannsweg 7","40699","Erkrath"
"ALDI SÜD","Nürnberger Str. 37","40599","Düsseldorf"
"ALDI SÜD","An der Sausweide 1","41542","Dormagen"
"ALDI SÜD","Reisholzer Bahnstr. 29","40599","Düsseldorf"
"ALDI SÜD","Schlüterstr. 10a","40699","Erkrath"
