X,Y,OBJECTID,name,amenity,healthcare,healthcare_speciality,operator,operator_type,contact_phone,contact_website,contact_email,contact_fax,addr,address_full,address_street,address_housenumber,address_postcode,address_city,address_housename,address_suburb,address_subdistrict,address_district,address_province,address_state,denomination,religion,emergency,rooms,beds,capacity,wheelchair,wikidata,wikipedia,ORIG_FID,GlobalID
9.916075800000044,52.163314700000058,3001,Spitzweg-Apotheke,pharmacy,,,Frau Anke Brei,,,,,,,,Winkelstraße,,31137,Hildesheim,,,,,,,,,,,,,yes,,,,cde0cfa0-a0d0-42f8-a9a9-846e08ffed0d
9.917201500000033,52.162667100000078,3002,Paracelsus Apotheke,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,7c117c9b-8a53-4aa0-9bf8-89b440f7ba72
9.476684500000033,54.781439200000079,3003,Kreuz-Apotheke,pharmacy,,,,,,,,,,,Taruper Hauptstraße,55,24943,Flensburg,,Tarup,,,,,,,,,,,yes,,,,f9dba47d-7185-4ae8-ade8-b3fc426984d3
7.230673500000023,50.578079800000069,3004,Römer Apotheke,pharmacy,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0cfba82d-01b5-4a22-b86e-2b841d49a1c2
11.740355600000044,52.020936500000062,3005,Adler,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736cf28c-8e08-4013-9415-f3f2f29014f6
9.657192300000077,50.061855300000047,3006,Spessart-Apotheke,pharmacy,,,Dr. Martin Maisch-Beßler,,,,,,,,Langenprozeltener Straße,59,97737,,,,,,,,,,,,,,,,,,04eae797-e84c-4eef-b0a3-75f2f729fcca
11.182537100000047,48.741854100000069,3007,Elisen Apotheke,pharmacy,pharmacy,,,,+49 8431 44882,,,,,,Ingolstädter Straße,18,86633,Neuburg an der Donau,,,,,,,,,,,,,,,,,1fbafa03-6c6a-4b67-a95e-dc6acba1264c
7.45579360000005,53.229977700000063,3008,Stadt-Apotheke,pharmacy,,,,,,,,,,,Mühlenstraße,59,26789,Leer (Ostfriesland),,,,,,,,,,,,,yes,,,,5d8405f9-5e9b-44fc-bd66-444bd68d6204
14.554512700000032,52.345777,3009,Löwen Apotheke,pharmacy,pharmacy,,Heike Wegner,,,,,,,,Große Oderstraße,42,15230,,,,,,,,,,,,,,,,,,10133e6d-bfb9-422f-8293-77f2dc9d9608
9.252117300000066,48.729699200000027,3010,Stadt Apotheke Mache,pharmacy,,,Stephan Mache,,+49 711 413266,http://www.apotheke-mache.de/apotheken/stadt-apotheke/ruit.php,,+49 711 446488,,,Kirchheimer Straße,27,73760,Ostfildern,,,,,,,,,,,,,limited,,,,2461f027-b5c3-4493-90a0-46c55d624cb7
9.253057700000056,48.730335100000048,3011,Rosen-Apotheke,pharmacy,,,Dieter Bauer,,+49 711 412100,http://www.rosen-apotheke-ostfildern.de/,rosen-apotheke-ostfildern@t-online.de,+49 711 412709,,,Hedelfinger Straße,18/1,73760,Ostfildern,,,,,,,,,,,,,limited,,,,96023c48-df1a-4aae-a9e0-db19c9e85c55
11.044948900000065,50.971254100000067,3012,Wilhelm-Busch-Apotheke,pharmacy,pharmacy,,,,+49 361 345 7515,http://www.wilhelm-busch-apotheke-erfurt.de/,,,,,Wilhelm-Busch-Straße,70,99099,Erfurt,,,,,,,,,,,,,no,,,,21c83931-cc15-4123-889e-c01ecc9b87f2
9.796134800000061,53.113315900000032,3013,Bahnhof Apotheke,pharmacy,,,,,,,,,,,Bahnhofstraße,35,29640,Schneverdingen,,,,,,,,,,,,,yes,,,,74966686-de16-4849-ac43-d2c83c40ecdc
10.261688500000048,49.286899900000037,3014,Hofapotheke,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,34aa1041-80d4-46a5-b41f-885844f687f4
8.569254800000067,49.295566700000052,3015,St. Florian Apotheke,pharmacy,,,,,,,,,,,Kirchenstraße,23,68799,Reilingen,,,,,,,,,,,,,yes,,,,65b75370-2287-41c7-b177-6e56bc061abd
7.17644690000003,51.933773200000076,3016,Ahorn Apotheke,pharmacy,,,,,,,,,,,Druffels Weg,65,48653,Coesfeld,,,,,,,,,,,,,,,,,0a13954d-f7f5-4de6-91ee-3780b40d6a30
9.398697500000026,48.875451300000066,3017,Apotheke am Rathaus,pharmacy,,,,,,,,,,,Torstraße,9,71364,Winnenden,,,,,,,,,,,,,yes,,,,e26cc5ba-23a2-4b56-9e28-0da47de8a557
8.167888400000038,49.46024390000008,3018,Löwenapotheke,pharmacy,pharmacy,,,,+49 6322 8001,,,,,,Stadtplatz,9,67098,Bad Dürkheim,,,,,,,,,,,,,,,,,639476ae-7683-4b15-a9da-df1ae78a87d6
8.169659300000035,49.461323100000072,3019,Brunnen-Apotheke,pharmacy,pharmacy,,,,+49 6322 4620,http://www.brunnen-apotheke-duew.de/,,,,,Mannheimer Straße,16,67098,Bad Dürkheim,,,,,,,,,,,,,,,,,30efa1c4-8a35-4ef9-8f7e-4d8f3fbf8138
9.128963800000065,48.959804700000063,3020,Apotheke Am Unteren Tor,pharmacy,pharmacy,,,,+497142788691,,post@apotheke-tor.eu,+4971427886911,,,Hauptstraße,12,74321,Bietigheim-Bissingen,,,,,,,,,,,,,yes,,,,d31dc10d-4083-4041-83fd-182125472ead
6.264328400000068,50.571412900000041,3021,Marien-Apotheke,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1aad11ad-caeb-4ff5-8790-24bb27adf909
7.161477600000069,50.695683100000053,3022,Donatus-Apotheke,pharmacy,,,Anke Marchand,,,,,,,,Mittelstraße,2,53175,Bonn,,,,,,,,,,,,,,,,,860c19cb-8e0e-4091-a9b4-050205ec4080
11.249511900000073,49.3607,3023,Christophorus-Apotheke,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,6ccc4e39-6dc0-42bd-84f1-b384c4d36804
10.519554700000072,51.710988,3024,Berg-Apotheke,pharmacy,pharmacy,,,,+49-5582-717,,,,,,,,,,,,,,,,,,,,,,yes,,,,8aefe9e3-b4fe-421f-8d9c-712bffd4cae6
6.611400100000026,51.332832,3025,Hildegardis Apotheke,pharmacy,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,f47cfd33-360b-42d0-837f-c2b3879d530f
7.835112,50.27397650000006,3026,Singhofen Apotheke,pharmacy,,,,,,,,,,,Am Marktplatz,7,56379,Singhofen,,,,,,,,,,,,,limited,,,,e1ab90db-5937-4c07-928f-0cee63bd34a1
6.829046600000027,51.335628100000065,3027,Herz-Apotheke,pharmacy,,,Jutta Heinrici,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,cd7e9218-3755-4993-9254-6bcd44540917
