"nameCompany","streetAddress","postalCode","addressLocality"
"Sparda-Bank","Markt 26","07318","Saalfeld"
"Sparda-Bank","Georgenstr. 2","08056","Zwickau"
"Sparda-Bank","Humboldtstr. 11","07545","Gera"
"Sparda-Bank","Schillerstr. 1","07745","Jena"
"SB-Sparda-Bank","Bahnhofstr. 5","09111","Chemnitz"
"Sparda-Bank","Klosterstr. 4-6","06667","Weißenfels"
"Sparda-Bank","Dr.-Wilhelm-Külz-Str. 13","01796","Pirna"
"Sparda-Bank","Kesselsdorfer Str. 32","01159","Dresden"
"SB-Sparda-Bank","Wiener Platz 1","01069","Dresden"
"Sparda-Bank","Dr.-Külz-Ring 15","01067","Dresden"
"Sparda-Bank","Königstr. 26","01097","Dresden"
"Sparda-Bank","Schillerplatz 1-2","01309","Dresden"
"Sparda-Bank","Goethestr. 87","01587","Riesa"
"Sparda-Bank","Reichenstr. 16","02625","Bautzen"
"Sparda-Bank","Friedrich-List-Str. 6","04895","Fralkenberg"
"Sparda-Bank","Tie 22/22a","06449","Aschersleben"
"Sparda-Bank","Karlsplatz 20","06406","Bernburg"
"SB-Sparda-Bank","Heidestr. 246a","06849","Dessau"
"Sparda-Bank","Franzstr. 90","06842","Dessau"
"SB-Sparda-Bank","Frankfurter Str. 14","04916","Herzberg"
"Sparda-Bank","Postplatz 20","02826","Görlitz"
"Sparda-Bank","Dessauer Str. 288a","06886","Lutherstadt Wittenberg"
"SB-Sparda-Bank","Vetschauer Str. 12","03048","Cottbus"
"Sparda-Bank","Bahnhofstr. 43","03046","Cottbus"
"Sparda-Bank","Berliner Str. 152","03046","Cottbus"
"SB-Sparda-Bank","Am Südtor 1","14774","Brandenburg an der Havel"
"Sparda-Bank","Steinstr. 63","14776","Brandenburg an der Havel"
"Sparda-Bank","Friedrich-Engels-Straße 100","14473","Potsdam"
"Sparda-Bank","Schloßstr. 97","12163","Berlin"
"SB-Sparda-Bank","Adlergestell 143","12439","Berlin"
"Sparda-Bank","Blissestr. 5","10713","Berlin"
"Sparda-Bank","Baumschulenstr. 84/85","12437","Berlin"
"Sparda-Bank","Bahnhofstr. 42","12555","Berlin"
"Sparda-Bank","Seegefelder Str. 1","13597","Berlin"
"Sparda-Bank","Warschauer Str. 31/32","10243","Berlin"
"Sparda-Bank","Georgenstr. 23","10117","Berlin"
"SB-Sparda-Bank","Revaler Str. 2","10243","Berlin"
"Sparda-Bank","Ruschestr. 104","10365","Berlin"
"Sparda-Bank","Storkower Str. 101a","10407","Berlin"
"Sparda-Bank","Breite Str. 22","13187","Berlin"
"Sparda-Bank","Berliner Str. 2","13507","Berlin"
"SB-Sparda-Bank","Granitzstr. 55-56","13189","Berlin"
"Sparda-Bank","Alte Hellersdorfer Str. 140","12629","Berlin"
"Sparda-Bank","Bäckerstr. 32","19322","Wittenberge"
"SB-Sparda-Bank","Grabenstr. 1","19061","Schwerin"
"Sparda-Bank","Treptower Str. 9","17033","Neubrandenburg"
"Sparda-Bank","Pferdemarkt 28","19322","Güstrow"
"Sparda-Bank","Steinstr. 6","18055","Rostock"
"Sparda-Bank","Walter-Stoecker-Str. 2","18069","Rostock"
"Sparda-Bank","Warnowallee 31c","18107","Rostock"
"Sparda-Bank","Lomonossowallee 58","17491","Greifswald"
"Sparda-Bank","Schuhhagen 2","17489","Greifswald"
"Sparda-Bank","Tribseer Damm 76","18437","Stralsund"
"Sparda-Bank","Störtebekerstraße 31","18528","Bergen"
"Sparda-Bank","Schloßplatz 8","29221","Celle"
"Sparda-Bank","Gudesstr. 10/12","29525","Uelzen"
"Sparda-Bank Filiale Lüneburg","Grapengießerstr. 35","21335","Lüneburg"
"Sparda-Bank","Herdentorsteinweg 1a","28195","Bremen"
"Sparda-Bank","Lange Str. 128","27749","Delmenhorst"
"Sparda-Bank","Hemmstr. 261","28215","Bremen"
"Sparda-Bank Hamburg eG und DEVK","Kirchenstr. 10a","21244","Buchholz"
"Sparda-Bank","Gerhard-Rohlfs-Str. 20","28757","Bremen"
"Sparda-Bank","Cloppenburger Str. 345","26133","Oldenburg"
"SB-Sparda-Bank","Cloppenburger Str. 224","26133","Oldenburg"
"Harburg","Schloßmühlendamm 14","21073","Hamburg"
"Bergedorf","Kupferhof 4","21029","Hamburg"
"SB-Sparda-Bank","Bahnhofsplatz 12d (Hauptbahnhof)","26122","Oldenburg"
"SB-Sparda-Bank","Donnerschweer Str. 215","26123","Oldenburg i.O."
"Sparda-Bank","Peterstr. 45","26121","Oldenburg"
"SB-Sparda-Bank","Bloherfelder Str. 126","26129","Oldenburg"
"SB-Sparda-Bank","Nadorster Str. 287","26125","Oldenburg"
"SB-Sparda-Bank","Alexanderstr. 420","26127","Oldenburg"
"Sparda-Bank","Beim Strohhause 29","20097","Hamburg"
"Am Thalia Theater","Rosenstr. 8","20095","Hamburg"
"Abc-straße","Abc-Str. 38","20354","Hamburg"
"Altona","Präsident-Krahn-Str. 16-17","22765","Hamburg"
"Wandsbek","Wandsbeker Marktstr. 48-50","22041","Hamburg"
"Rothenbaum","Grindelallee 100","20146","Hamburg"
"Hamburger straße","Hamburger Str. 27","22083","Hamburg"
"Sparda-Bank","Osterstr. 116","20255","Hamburg"
"Barmbek","Fuhlsbüttler Str. 100","22305","Hamburg"
"Elbvororte","Osdorfer Landstr. 102","22549","Hamburg"
"Winterhude","Winterhuder Marktplatz 5","22299","Hamburg"
"Sparda-Bank","Überseering 5-7","22297","Hamburg"
"Bramfeld","Bramfelder Chaussee 230","22177","Hamburg"
"Eidelstedt","Alte Elbgaustr. 16","22523","Hamburg"
"Niendorf","Niendorfer Marktplatz 10","22459","Hamburg"
"Poppenbüttel","Heegbarg 4","22391","Hamburg"
"Sparda-Bank","Krohnstieg 4","22415","Hamburg-Langenhorn"
"SB-Sparda-Bank","Hauptkanal rechts 33","26871","Papenburg"
"Norderstedt","Im Moorbek-Rondeel, Rathausallee 70","22846","Norderstedt"
"Sparda-Bank","Rathausstr. 70","22846","Norderstedt"
"Sparda-Bank","Bahnhofsring 16-20","26789","Leer"
"Sparda-Bank","Bürgermeister-Smidt-Str. 27","27568","Bremerhaven"
"Sparda-Bank","Königstr. 38","25335","Elmshorn"
"Sparda-Bank","Hegede 3","23966","Wismar"
"Sparda-Bank","Sandstr. 1","23552","Lübeck"
"Lübeck","Werner-Kock-Str. 6","23554","Lübeck"
"Sparda-Bank","Gökerstr. 58/60","26384","Wilhelmshaven"
"SB-Sparda-Bank","Banter Weg 175","26382","Wilhelmshaven"
"SB-Sparda-Bank","Im Gewerbegebiet 6","26419","Schortens"
"Sparda-Bank","Neuer Markt 29","26721","Emden"
"Neumünster","Bahnhofstr. 2","24534","Neumünster"
"Kiel Sophienblatt","Sophienblatt 25","24114","Kiel"
"Flensburg","Rathausstr. 2","24937","Flensburg"
"Sparda-Bank","Am Bahnhof 2","36037","Fulda"
"SB-Sparda-Bank","Maberzeller Str. 45","36037","Fulda"
"Sparda-Bank","Dudenstr. 9","36251","Bad Hersfeld"
"Sparda-Bank","Bahnhofstr. 16","36179","Bebra"
"SB-Sparda-Bank","Adolph-Kolping-Str. 9","35392","Gießen-Schlangenzahl"
"Sparda-Bank","An der Johanneskirche 6","35390","Gießen"
"SB-Sparda-Bank","Braunfelser Str. 1","35578","Wetzlar"
"Sparda-Bank","Bahnhofstr. 14","35576","Wetzlar"
"SB-Sparda-Bank","An Der Backstania 1a","35781","Weilburg"
"Sparda-Bank","Markplatz 13","37269","Eschwege"
"SB-Sparda-Bank","Universitätsstr. 15","35037","Marburg"
"Sparda-Bank","Krummbogen 15","35039","Marburg"
