X,Y,FID,Name,Kurzname,Strasse,Hn,PLZ,Ort,Telefon,Telefax,E_Mail,Homepage,Typ,RS,Gemeinde,Verwaltung,Kreis,Regierungs,Bundesland
13.692350000339536,51.072789998846204,1,Berufsfeuerwehr Dresden - Brand- und Katastrophenschutzamt - Leitstelle Dresden,Brand- und Katastrophenschutzamt - LS Dresden,Scharfenberger Straße,47,01139,Dresden,0351/8155-0,0351/8155-253,feuerwehr@dresden.de,www.dresden.de/feuerwehr,Verwaltung und Leitstelle,146120000000,Dresden,Dresden,Dresden, ,Sachsen
13.756350000345778,51.081329998996274,2,Berufsfeuerwehr Dresden - Feuer- und Rettungswache 1 - Albertstadt,FRW 1 - Albertstadt,Magazinstraße,1,01099,Dresden,0351/8155-120,0351/8155-140,feuerwehr@dresden.de,www.dresden.de/feuerwehr,Feuer- und Rettungswache,146120000000,Dresden,Dresden,Dresden, ,Sachsen
13.690199999684328,51.072179999478898,3,Berufsfeuerwehr Dresden - Feuer- und Rettungswache 2 - Übigau,FRW 2 - Übigau,Washingtonstraße,59,01139,Dresden,0351/8155-220,0351/8155-240,feuerwehr@dresden.de,www.dresden.de/feuerwehr,Feuer- und Rettungswache,146120000000,Dresden,Dresden,Dresden, ,Sachsen
13.793910000760448,51.041439999574713,4,Berufsfeuerwehr Dresden - Feuer- und Rettungswache 3 - Striesen,FRW 3 - Striesen,Schlüterstraße,39,01277,Dresden,0351/8155-320,0351/8155-340,feuerwehr@dresden.de,www.dresden.de/feuerwehr,Feuer- und Rettungswache,146120000000,Dresden,Dresden,Dresden, ,Sachsen
13.696130000230507,51.038319999661375,5,Berufsfeuerwehr Dresden - Feuer- und Rettungswache 4 - Löbtau,FRW 4 - Löbtau,Clara-Zetkin-Straße,24,01159,Dresden,0351/8155-420,0351/8155-440,feuerwehr@dresden.de,www.dresden.de/feuerwehr,Feuer- und Rettungswache,146120000000,Dresden,Dresden,Dresden, ,Sachsen
13.745580000860771,51.034799998937387,6,Berufsfeuerwehr Dresden - Feuer- und Rettungswache 5 - Altstadt,FRW 5 - Altstadt,Strehlener Straße,24,01069,Dresden,0351/8155-520,0351/8155-540,feuerwehr@dresden.de,www.dresden.de/feuerwehr,Feuer- und Rettungswache,146120000000,Dresden,Dresden,Dresden, ,Sachsen
14.438929999797123,51.187069999901354,7,Berufsfeuerwehr Bautzen,FW Bautzen,Gesundbrunnenring,23,02625,Bautzen,03591/6798-0,03591/6798-66,feuerwehr@bautzen.de,www.feuerwehr-bautzen.de,Feuerwache,146250020020,Bautzen,Bautzen,Bautzen, ,Sachsen
14.976730001006855,51.150020000340781,8,Berufsfeuerwehr Görlitz,FW Görlitz,Krölstraße,26,02826,Görlitz,03581/486-411,03581/486-410,feuerwehr@goerlitz.de,www.feuerwehr.goerlitz.de,Feuerwache,146260110110,Görlitz,Görlitz,Görlitz, ,Sachsen
14.273940000104606,51.449989999233672,9,Berufsfeuerwehr Hoyerswerda - Hauptfeuerwache,HFW Hoyerswerda,Liselotte-Herrmann-Straße,89a,02977,Hoyerswerda,03571/4573-60,03571/458955,feuerwehr@hoyerswerda-stadt.de,www.hoyerswerda.de,Feuerwache,146250240240,Hoyerswerda,Hoyerswerda,Bautzen, ,Sachsen
14.272930000651181,51.449159999182825,10,Berufsfeuerwehr Hoyerswerda - Integrierte Regionalleitstelle Ostsachsen,IRLS Ostsachsen,Merzdorfer Straße,1,02977,Hoyerswerda,03571/4765-0,03571/4765-111,verwaltung@irls-hoyerswerda.de,www.kreis-goerlitz.de,Leitstelle,146250240240,Hoyerswerda,Hoyerswerda,Bautzen, ,Sachsen
14.337790000349225,51.733349999235081,11,Berufsfeuerwehr Cottbus - Feuer- und Rettungswache 1 und Regionalleitstelle Lausitz,FRW 1 - RLS Lausitz,Dresdener Straße,46,03050,Cottbus,0355/632-0,0355/632-138,info@feuerwehr.cottbus.de,www.cottbus.de,Feuer- und Rettungswache mit Leitstelle,120520000000,Cottbus,Cottbus,Cottbus, ,Brandenburg
14.335300000269303,51.765829999988384,12,Berufsfeuerwehr Cottbus - Feuer- und Rettungswache 2,FRW 2 - Cottbus,Ewald-Haase-Straße,3,03044,Cottbus,0355/632-0,0355/632-138,info@feuerwehr.cottbus.de,www.cottbus.de,Feuer- und Rettungswache,120520000000,Cottbus,Cottbus,Cottbus, ,Brandenburg
12.368659999573309,51.342909998793907,13,Berufsfeuerwehr Leipzig - Branddirektion - Hauptfeuerwache,BD - HFW,Goerdelerring,7,04109,Leipzig,0341/123-0, ,feuerwehr@leipzig.de,www.leipzig.de,Feuerwache,147130000000,Leipzig,Leipzig,Leipzig, ,Sachsen
12.395909999681985,51.31272999939825,14,Berufsfeuerwehr Leipzig - Feuerwache Süd - Leipzig-Marienbrunn,FW Süd,Zwickauer Straße,59,04277,Leipzig,0341/123-0, ,feuerwehr@leipzig.de,www.leipzig.de,Feuerwache,147130000000,Leipzig,Leipzig,Leipzig, ,Sachsen
12.366709999669062,51.369629999408573,15,Berufsfeuerwehr Leipzig - Feuerwache Nord - Leipzig-Gohlis,FW Nord,Matthissonstraße,4,04157,Leipzig,0341/123-0, ,feuerwehr@leipzig.de,www.leipzig.de,Feuerwache,147130000000,Leipzig,Leipzig,Leipzig, ,Sachsen
12.308529999453905,51.30102999911432,16,Berufsfeuerwehr Leipzig - Feuerwache Südwest - Leipzig-Großzschocher und Integrierte Regionalleitstelle,FW Südwest - ILS,Gerhard-Ellrodt-Straße,29d,04249,Leipzig,0341/123-0, ,feuerwehr@leipzig.de,www.leipzig.de,Feuerwache mit Leitstelle,147130000000,Leipzig,Leipzig,Leipzig, ,Sachsen
12.333040000301187,51.329299998814925,17,Berufsfeuerwehr Leipzig - Feuerwache West - Leipzig-Plagwitz,FW West,Lauchstädter Straße,37,04229,Leipzig,0341/123-0, ,feuerwehr@leipzig.de,www.leipzig.de,Feuerwache,147130000000,Leipzig,Leipzig,Leipzig, ,Sachsen
12.4577300006606,51.36569999895795,18,Berufsfeuerwehr Leipzig - Feuerwache Nordost - Leipzig-Heiterblick,FW Nordost,Torgauer Straße,310,04347,Leipzig,0341/123-0, ,feuerwehr@leipzig.de,www.leipzig.de,Feuerwache,147130000000,Leipzig,Leipzig,Leipzig, ,Sachsen
