"nameCompany","streetAddress","postalCode","addressLocality","column2"
"Bionahkauf","Oelsnitzer Str. 44A","08626","Adorf",
"H&z Naturkost","Geraer Str. 12","07907","Schleiz",
"Biomarkt Schwarzenberg","Str. Der Einheit 115","08340","Schwarzenberg",
"Naturmarkt Dr. Engelmann","Marienstr. 72","08056","Zwickau",
"Biomarkt Claudia Bochmann","Hauptstr. 47","09221","Neukirchen / Adorf",
"Bio-Markt Jena","Zwätzengasse 15","07743","Jena",
"Biolino Naturmarkt Chemnitz","Oberfrohnaer str. 43","09117","Chemnitz",
"Biomarkt Knackfrisch","Zschopauer str. 279","09126","Chemnitz",
"Biomarkt Knackfrisch","Weststr. 49","09112","Chemnitz",
"Naturkost Sonnenblume","Franz-Mehring-str. 8","09112","Chemnitz",
"BioMarkt","Limbacher Str. 19","09232","Hartmannsdorf",
"BioMarkt","Garnsdorfer Str. 20","09244","Lichtenau",
"Naturkostservice Lichtenau","Garnsdorfer Str. 20 / Ortsteil Ottendorf","09244","Lichtenau",
"Biomarkt Vorwerk Podemus","Korngasse 5","09599","Freiberg",
"Bioladen In Pirna's","Rottwerndorfer str. 12","01796","Pirna",
"Biomarkt Vorwerk Podemus Hofmarkt","Podemuser Ring 1","01156","Dresden - Podemus",
"Biomarkt Vorwerk Podemus","Wiener Platz 4","01069","Dresden",
"BioMarkt","Werkstättenstr. 2","01157","Dresden",
"Vorwerk Podemus Biomarkt","Winterbergstr. 31","01277","Dresden Gruna",
"BioMarkt","Körnerstr. 41","04107","Leipzig",
"Biomarkt Vorwerk Podemus","Alttolkewitz 26","01279","Dresden",
"Bio-Sphäre Naturkost Dresden GmbH","Alaunstr. 8","01099","Dresden",
"BioMarkt","Hüblerstr. 3","01309","Dresden",
"Bio-Sphäre Naturkost Dresden GmbH","Königsbrücker str. 76","01099","Dresden",
"Biomarkt Vorwerk Podemus","Hans-Oster-Str. 2 / Ecke Tannenstraße","01099","Dresden Neustadt",
"Biomarkt Vorwerk Podemus Stadtmarkt","Meißner Str. 79","01445","Radebeul",
"Bauer´s Bioladen","Hauptstr. 30","04821","Brandis",
"Naturkaufeck","Lutherstr. 8","01662","Meißen",
"Biomarkt Vorwerk Podemus","Zur Neuen Brücke 4A","01109","Dresden",
"Biowelt","An Der Ziegelei (Ekz) 2","01454","Radeberg",
"Biomarkt","Stephanusstraße 12","06114","Halle/Saale",
"Bio Markt Naturata Halle","Trothaerstr. 14","06118","Halle",
"Biola - Naturkost*reformhaus*holzspielzeug","Steinstr. 49","04838","Eilenburg",
"BioMarkt","Lindenstr. 4","02763","Zittau",
"Biomarkt Vorwerk Podemus","Töpferstr. 39","02625","Bautzen",
"BioMarkt","Pommritz 1","02627","Hochkirch",
"BioMarkt","Eduardstr. 20","06844","Dessau",
"Lebensquell-Biomarkt","Hegelallee 23","14467","Potsdam",
"BioMarkt","Goerzallee","12207","Lichterfelde",
"Siebenkorn-Naturwaren","Schützenstr. 9","12165","Berlin",
"BioMarkt","Lauterstraße 12-13","12159","Berlin",
"Bioinsel Naturkost","Leberstr. 2","10829","Berlin",
"Landverte","Joachim-Friedrich-str. 17","10711","Berlin-Wilmersdorf",
"BioMarkt","Motzstr.","10777","Berlin",
"Speisekammer","Motzstr. / Ecke Kalchreuth","10777","Berlin",
"BioMarkt","Warschauer Str. 63","10245","Berlin",
"Biomarkt","Wiclefstr.12/Ecke Oldenburger","10551","Berlin",
"BioMarkt","Boxhagener str. 103","10245","Berlin",
"BioMarkt","Schönhauser Allee 10-11","10119","Berlin",
"BioMarkt","Greifswalder str. 31","10405","Berlin",
"BioMarkt","Bernauer str. 50","10435","Berlin",
"BioMarkt","Schliemannstr. 48","10437","Berlin",
"BioMarkt","Schönhauser Allee Arcaden","10439","Berlin",
"BioMarkt","Oraniendamm 44","13469","Berlin",
"Zaubernuss Naturkost","Walter-Friedrich-str. 10a","13125","Berlin",
"Lindenhof - Ihr Lieferdienst Für Berlin & Umgebung","Dorfstr. 26","16845","Rohrlack",
"Biomarkt Karo","Lübecker Str. 34","19053","Schwerin",
"Biomarkt","Lübecker Straße 34","19034","Schwerin",
"BioMarkt","Kröpeliner Tor Center","18055","Rostock",
"Bio-Insel Stralsund","Tribseer Damm 75","18437","Stralsund",
"BioMarkt","Bahnhofstr. 1","29549","Bad Bevensen",
"Biomarkt Sonnenseite","Lüneburger str. 19","29549","Bad Bevensen",
"Aleco Verden","Hamburger Str. 56","27283","Verden",
"Bauckhof OHG","Triangel 6","21385","Amelinghausen",
"Aleco Syke","Herrlichkeit 10","28857","Syke",
"BioMarkt","Neu Häcklingen 1","21335","Lüneburg",
"Aleco Rotenburg","Verdener str. 4","27356","Rotenburg",
"Die Kruke","Bahnhofstr. 2","21376","Salzhausen",
"Biomarkt Vitalis","Vor Dem Bardowicker Tore 35","21339","Lüneburg",
"Ökomarkt Elbetal","Fritz Von Dem Berge str. 1b","21354","Bleckede",
"Aleco Sottrum","Vogteistr. 2","27367","Sottrum",
"Aleco Ottersberg","Grüne Str. 19","28870","Ottersberg",
"Aleco Bremen Kirchweg","Kirchweg 204","28199","Bremen",
"Aleco Bremen Bismarckstr.","Bismarckstr. 14","28203","Bremen",
"Aleco Bremen Rockwinkeler","Rockwinkeler Heerstr. 172","28355","Bremen",
"Aleco Bremen Wätjenstr.","Wätjenstr. 146","28213","Bremen",
"Aleco Bremen Admiralstr.","Admiralstr. 14","28215","Bremen",
"Aleco Delmenhorst","Hannah-Arendt-str. 3","27753","Delmenhorst",
"Aleco Lilienthal","Falkenberger Landstr. 42","28865","Lilienthal",
