OBJECTID,mifcode,strecke_nr,richtung,laenge,von_km_i,bis_km_i,von_km_l,bis_km_l,elektrifiz,bahnnutzun,geschwindi,strecke_ku,gleisanzah,bahnart,kmspru_typ,kmspru_t00,Shape__Length,Shape__Length_2
1,xka_mrk_830,6340,2,1195,110810005,110930000,"108,1 + 5","109,3 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle - Baunat. Guntershausen,zweigleisig,Hauptbahn, , ,,
2,xka_mrk_830,6343,2,393,117070037,117110030,"170,7 + 37","171,1 + 30",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn, , ,,
3,xka_mrk_830,6343,2,470,117110030,117160000,"171,1 + 30","171,6 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn, , ,,
4,xka_mrk_830,6343,2,200,117160000,117180000,"171,6 + 0",171.8 +     0,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn, ,Überlängenanfang,,
5,xka_mrk_830,6343,2,196,117180000,117190075,171.8 +     0,171.9 +    75,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
6,xka_mrk_830,6343,2,700,117190075,117260075,171.9 +    75,"172,6 + 75",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Halle (S) Hbf - Hann Münden,zweigleisig,Hauptbahn,Überlängenende, ,,
7,xka_mrk_830,6362,2,245,100260055,100290000,"2,6 + 55","2,9 + 0",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Lpz Strw 6361/6362 - Hof,zweigleisig,Hauptbahn, , ,,
8,xka_mrk_830,6363,2,106,110480094,110500000,"104,8 + 94","105,0 + 0",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Leipzig Hbf - Dresden-Neustadt,zweigleisig,Hauptbahn, , ,,
9,xka_mrk_830,6363,2,1222,111520000,111640022,"115,2 + 0","116,4 + 22",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Dresden-Neustadt,zweigleisig,Hauptbahn, , ,,
10,xka_mrk_830,6367,2,7,99969945,99969952,"-0,3 + -54","-0,3 + -47",Oberleitung,Pz/Gz-Bahn, ,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, , ,,
11,xka_mrk_830,6367,2,678,99969952,100030031,"-0,3 + -47",0.3 +    31,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
12,xka_mrk_830,6367,2,0,100030031,100040000,0.3 +    31,"0,4 + 0",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
13,xka_mrk_830,6367,2,737,100040000,100110037,0.4 +     0,"1,1 + 37",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
14,xka_mrk_830,6367,2,144,100110037,100120081,"1,1 + 37","1,2 + 81",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, , ,,
15,xka_mrk_830,6367,2,1464,103040000,103180064,"30,4 + 0",31.8 +    64,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
16,xka_mrk_830,6367,2,0,103180064,103180082,31.8 +    64,31.8 +    82,Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
17,xka_mrk_830,6367,2,453,103180082,103230035,31.8 +    82,"32,3 + 35",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
18,xka_mrk_830,6367,0,54,103230035,103230089,"32,3 + 35","32,3 + 89",Oberleitung,Pz/Gz-Bahn,ab 50 bis 100 km/h,Leipzig Hbf - Großkorbetha,eingleisig,Hauptbahn, , ,,
19,xka_mrk_830,6403,2,50,108540000,108540050,"85,4 + 0","85,4 + 50",Oberleitung,Pz-Bahn,ab 50 bis 100 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, , ,,
20,xka_mrk_830,6403,2,585,108540050,108600035,"85,4 + 50",86.0 +    35,Oberleitung,Pz-Bahn,bis 50 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, ,Fehllänge ankommend,,
21,xka_mrk_830,6403,2,0,108600035,108600048,86.0 +    35,86.0 +    48,Oberleitung,Pz-Bahn,bis 50 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn,Fehllänge ankommend,Fehllänge abgehend,,
22,xka_mrk_830,6403,2,752,108600048,108680000,86.0 +    48,"86,8 + 0",Oberleitung,Pz-Bahn,bis 50 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn,Fehllänge abgehend, ,,
23,xka_mrk_830,6403,2,1463,109470033,109610096,"94,7 + 33","96,1 + 96",Oberleitung,Pz/Gz-Bahn,ab 120 bis 160 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, , ,,
24,xka_mrk_830,6403,2,261,109610096,109640057,"96,1 + 96","96,4 + 57",Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, , ,,
25,xka_mrk_830,6403,2,1943,109640057,109840000,"96,4 + 57",98.4 +     0,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn, ,Überlängenanfang,,
26,xka_mrk_830,6403,2,201,109840000,109850085,98.4 +     0,98.5 +    85,Oberleitung,Pz/Gz-Bahn,ab 100 bis 120 km/h,Magdeburg - Leipzig Messe Süd,zweigleisig,Hauptbahn,Überlängenanfang,Überlängenende,,
