"nameCompany","streetAddress","postalCode","addressLocality"
,,,
,,,
"EDEKA","Hauptstr. 30","29364","Langlingen"
"EDEKA Nowak","Gifhorner Str. 13","29392","Wesendorf"
"EDEKA Ankermann","Mühlenweg 31b","29358","Eicklingen"
"EDEKA Ankermann","Hauptstr. 46","29399","Wahrenholz"
"EDEKA Müller","Klosterhof 34","29336","Nienhagen"
"EDEKA Lapusch","Lärchenweg 4","29227","Celle"
"EDEKA Gieseke","Hannoverische Heerstr. 99-101","29227","Celle"
"E center Cramer","Im Bulloh 35","29331","Lachendorf"
"EDEKA","Lauensteinpl. 1","29225","Celle"
"EDEKA Schulze","Witzlebenstr. 10","29223","Celle"
"E center Ankermann","Telefunkenstr. 45","29223","Celle"
"EDEKA Dittel","Tannhorstfeld 1","29229","Celle"
"EDEKA Schulze","Hehlenbruchweg 1","29313","Hambühren"
"EDEKA Schulze","Wiesenweg 23","29313","Hambühren"
"EDEKA Michael Genz","Junkerstr. 24","29378","Wittingen"
"E center Bock-Lühmann","Celler Str. 37","29378","Wittingen"
"E center Nowak","Handwerkerring 5","29386","Hankensbüttel"
"EDEKA Gebhardt","Bauernstr. 2","29413","Diesdorf"
"EDEKA Schulze","Bonifatiusstr. 10","29323","Wietze"
"E center Winsen","Roggenkamp 11","29308","Winsen (Aller)"
"EDEKA","Celler Str. 5 - 7","29348","Eschede"
"EDEKA","Celler Str. 35","29690","Schwarmstedt"
"EDEKA KEM 2486","Buchenallee 2-4","29410","Salzwedel"
"E aktiv Markt Holzmüller","Bergstr. 8","29389","Bad Bodenteich"
"Frischemarkt Roehl","Lange Str. 37","29465","Schnega"
"EDEKA","Celler Str. 18","29320","Hermannsburg"
"Frischemarkt Wolff","Lindenallee 38","29485","Schweskau"
"E center","Harburger Str. 30","29303","Bergen"
"EDEKA Stüder","Bahnhofstr. 42","29462","Wustrow"
"EDEKA Dankenbring","Allerstr. 1","29693","Hodenhagen"
"EDEKA Wessel","Bahnhofstr. 61","29559","Wrestedt"
"E aktiv markt Wolff","Lange Str. 6","29459","Clenze"
"EDEKA Janszikowsky","Bahnhofstr. 41","29556","Suderburg"
"E aktiv markt Mosch","Industriestr. 1","29562","Suhlendorf"
"","Hauptstr. 4a","29328","Faßberg"
"EDEKA Ehlers","Finkenweg 6","29328","Faßberg"
"EDEKA J.Pläth","Drawehner Str. 6-10","29439","Lüchow"
"E neukauf Wolff","Gertrud - Noch - str. 2 - 6","29525","Uelzen"
"E center Steen","Schützenstr. 13","27232","Sulingen"
"Edeka Wolff","St.-Viti-Str. 13","29525","Uelzen"
"Frischemarkt Külbs","Bevensener Str. 4","29571","Rosche"
"EDEKA Hildebrandt","Springstr. 33","29471","Gartow"
"E center","Rudolf-Diesel-Str. 1","29664","Walsrode"
"EDEKA Heinrich","Poststr. 2","29683","Bad Fallingborstel"
"EDEKA Stellmann","Altenfelder Weg 9-11","27330","Asendorf"
"EDEKA Dittmer","Georg-Mawede-Str. 32","29574","Ebstorf"
"EDEKA Meyer","Große Str. 37","27313","Dörverden"
"EDEKA Wessel","Wilhelm-Bockelmann-Str. 56-60a","29633","Munster"
