"nameCompany","streetAddress","postalCode","addressLocality"
"McDonald's","Klostermarkt 12","08523","Plauen"
"McDonald's","Äußere Reichenbacher Str. 64","08529","Plauen"
"McDonald's","Göltzschtalstr. 79","08209","Auerbach"
"McDonald's","Industriestr. 15","07907","Schleiz"
"McDonald's","Rosa-Luxemburg-Str. 56","08468","Reichenbach"
"McDonald's","Mittlerer Watzenbach 1","07318","Saalfeld"
"McDonald's","Lössnitzer Str. 89","08280","Aue"
"McDonald's","Chemnitzer Str. 36","09456","Annaberg-Buchholz"
"McDonald's","Arno-Schmidt-Str. 28","08134","Wildenfels (OT Härtensdorf)"
"McDonald's","Oskar-Arnold-Str. 14","08056","Zwickau"
"McDonald's","Innere Plauensche Str. 14 (Zwickau Arcaden)","08056","Zwickau"
"McDonald's","Amsterdamerstr. 2","07747","Jena"
"McDonald's","Kraftsdorferstr. 1","07629","Hermsdorf"
"McDonald's","Schlossstr. 1","07545","Gera"
"McDonald's","Hohe Str. 15","08393","Meerane"
"McDonald's","Siemensstr. 55","07546","Gera"
"McDonald's","Leutragraben 8","07743","Jena"
"McDonald's","Im Neefepark 2","09116","Chemnitz"
"McDonald's","Reichsstr. 1a","09112","Chemnitz"
"McDonald's","Am Rathaus 1","09111","Chemnitz"
"McDonald's","Eichenweg","07616","Petersberg"
"McDonald's","Leipziger Str. 212","09114","Chemnitz"
"McDonald's","Dresdner Str. 117","09130","Chemnitz"
"McDonald's","Lödlaer Chaussee 4b","04617","Lödla"
"McDonald's","Sachsenstr. 9a (Oli-Park)","09244","Lichtenau"
"McDonald's","Geußnitzer Str. 99","06712","Zeitz"
"McDonald's","Häuersteig 8a","09599","Freiberg"
"McDonald's","Am Wilhelmschacht 21","04552","Borna"
"McDonald's","Käthe-Kollwitz-Str.","06667","Weißenfels"
"McDonald's","Augustusberg 72","01683","Nossen"
"McDonald's","Heiterer Blick 1","04720","Großweitzschen"
"McDonald's","Boderitzer Str. 30","01728","Bannewitz"
"McDonald's","Grimmaische Str. (Pösnapark)","04463","Großpösna"
"McDonald's","Gompitzer Höhe 3","01156","Dresden"
"McDonald's","Nordstr. 1","04416","Markkleeberg"
"McDonald's","Dresdner Str. 47","01796","Pirna"
"McDonald's","Michaelisstr. 1","01257","Dresden"
"McDonald's","Hengstbergstr. 11","04668","Grimma"
"McDonald's","an der BAB 14 Muldental Nord","04668","Grimma"
"McDonald's","Prager Str. 4a","01069","Dresden"
"McDonald's","Saarländer Str. 2","04179","Leipzig"
"McDonald's","Trompeterstr. 5","01069","Dresden"
"McDonald's","Merseburger Landstr. 17 (Einkaufszentrum Saalepark)","06237","Leuna (OT Günthersdorf)"
"McDonald's","Webergasse 1","01067","Dresden-Innere Altstadt"
"McDonald's","Wilsdruffer Str. 19/21","01067","Dresden"
"McDonald's","Merseburger Landstr.","06237","Leuna (OT Günthersdorf)"
"McDonald's","Miltitzerstr. 13","04178","Leipzig"
"McDonald's","Petersstr.","04109","Leipzig"
"McDonald's","Querfurter Str. 4","06217","Merseburg Nord"
"McDonald's","Brühl 1","04109","Leipzig"
"McDonald's","Willy-Brandt-Platz 7","04109","Leipzig"
"McDonald's","Willy-Brandt-Platz 3","04109","Leipzig-Zentrum-Ost"
"McDonald's","Peschelstr. 38","01139","Dresden"
"McDonald's","Loschwitzer Str. 49","01309","Dresden"
"McDonald's","Hansastr. 56","01097","Dresden"
"McDonald's","Paunsdorfer Allee 1","04329","Leipzig-Engelsdorf"
"McDonald's","Fabrikstr. 12","01662","Meißen"
"McDonald's","Otto-Schmidt-Str.","04425","Taucha"
"McDonald's","Bierweg 6","04435","Schkeuditz"
"McDonald's","An der Prießnitzaue 1a","01328","Dresden"
"McDonald's","Handelsstr. 1","04356","Leipzig"
"McDonald's","Am Mittelfeld 1","06528","Oberröblingen"
"McDonald's","Leipziger Chaussee 147","06112","Halle"
"McDonald's","An der Lauchstädter Str. 5","06179","Angersdorf"
"McDonald's","Lommatzscher Str. 29","01587","Riesa"
