"nameCompany","streetAddress","postalCode","addressLocality","column1"
"Kaufland Plauen-Chrieschwitz","Äußere Reichenbacher Str. 64","08529","Plauen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Plauen-Haselbrunn","Morgenbergstr. 41","08523","Plauen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Plauen-Kauschwitz","Alte Jößnitzer Str. 30","08525","Plauen","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Auerbach/Vogtland","Zur Sternkoppel 1","08228","Rodewisch","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Schleiz, Admira Center","Oettersdorfer Str. 40","07907","Schleiz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Schwarzenberg","Karlsbader Str. 2 A","08340","Schwarzenberg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Unterwellenborn","Kronacher Str. 9","07333","Unterwellenborn","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Zeulenroda","Aumaische Str. 27/29","07937","Zeulenroda","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Reichenbach","Zwickauer Str. 128","08468","Reichenbach im Vogtland","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Greiz","August-Bebel-Str. 46","07973","Greiz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Pößneck","Saalfelder Str. 21","07381","Pößneck","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Aue","Brünlasberg 1A","08280","Aue","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Rudolstadt","Am Spielborn 1-3","07407","Rudolstadt","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Zwönitz","Albin-Trommler-Str. 1","08297","Zwönitz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Werdau, Pleissen-Center","Stiftstr. 6-8","08412","Werdau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Annaberg-Buchholz","Gewerbering 2","09456","Annaberg-Buchholz","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Zwickau-Marienthal-Ost","Bernhardstr. 5","08060","Zwickau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Werdau, Uferstr.","Uferstr. 1","08412","Werdau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Zwickau-Eckersbach-Siedl.","Äußere Dresdner Str. 25","08066","Zwickau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Zwickau-Pölbitz","Schubertstr. 1","08058","Zwickau","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Stollberg/Erzgeb.","Auer Str. 20","09366","Stollberg/Erzgeb.","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Marienberg","Am Lautengrund 4","09496","Marienberg","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Gera-Lusan-Laune","Schleizer Str. 36-39","07549","Gera-Lusan","https://www.meinprospekt.de/filialen/kaufland/0"
"Kaufland Jena-Lobeda","Karl-Marx-Allee 20","07747","Jena-Lobeda","https://www.meinprospekt.de/filialen/kaufland/0"
