X,Y,OBJECTID,name,amenity,healthcare,healthcare_speciality,operator,operator_type,contact_phone,contact_website,contact_email,contact_fax,addr,address_full,address_street,address_housenumber,address_postcode,address_city,address_housename,address_suburb,address_subdistrict,address_district,address_province,address_state,denomination,religion,emergency,rooms,beds,capacity,wheelchair,wikidata,wikipedia,ORIG_FID,GlobalID
8.23413110000007,48.764486800000043,1,Klinik Dr. Dengler,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,no,,,,limited,,,,5e19f295-9c45-4b64-8a7e-915315150f7f
6.110359600000038,50.843040400000064,2,salvea Schwertbad Aachen - Betriebsteil Bardenberg,clinic,rehabilitation,psychosomatic,inoges Holding GmbH,,+49 241 60020,https://salvea.de/standorte/standort/salvea-schwertbad-aachen-betriebsteil-bardenberg,,,,,Dr.-Hans-Böckler-Platz,1,52146,Würselen,,Bardenberg,,,,,,,,,,,yes,,,,cc4e6d7e-2c93-4c37-9b3d-4cf3b1da023f
6.361024,51.189372,3,Herzpark Mönchengladbach,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b3d043cc-3bb5-4e1d-aab0-760577ac93da
8.244032,48.74862870000004,4,Gunzenbachhof,clinic,clinic,,Oberrheinische Kliniken,,,,,,,,Gunzenbachstraße,6,76530,Baden-Baden,,,,,,,,,no,,,,,,,,7d5a0c7c-f474-455c-a82e-9fabb2925f0b
8.218902,48.748887400000058,5,Nexus-Klinik,clinic,,,,,,,,,,,Hermann-Sielcken-Straße,80,76530,Baden-Baden,,,,,,,,,no,,,,limited,,,,372425af-8bb1-4eb1-a0bb-809c139308af
9.634869,47.953167400000041,6,Schussentalklinik,clinic,,,,,+49 7525 9320,http://www.schussental-klinik.de/,,,,,Safranmoosstraße,5,88326,Aulendorf,,,,,,,,,no,,,,yes,,,,6952daec-9024-4e06-bf04-73e0c4cb0a7f
12.154608300000064,50.921660100000054,7,Landambulanz,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eb46165e-d039-436f-8a9c-ad476e689682
9.42943420000006,47.873613300000045,8,Fachklinik Ringgenhof,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1af8c290-c49c-425b-9cf0-bdd90d826768
12.014615,51.325765200000035,9,Poliklinik,clinic,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0be5a1fa-a7c6-40de-9ee6-a112bd7b0c8c
8.27431050000007,48.776253700000041,10,Klinikum Ebersteinburg,clinic,clinic,,,,,,,,,,Dr.-Rumpf-Weg,7,76530,Baden-Baden,,,,,,,,,,,,,limited,Q38087864,,,6082e741-5865-4e57-a311-e40e33a776a3
13.055862900000022,52.406878,11,Klinik Sanssouci,clinic,clinic,"surgery;plastic_surgery",Klinik Sanssouci Potsdam GmbH & Co. KG,business,+49 331 280 870,https://www.kliniksanssouci.de/,info@kliniksanssouci.de,+49 331 280 4086,,,,,,,,,,,,,,,,,,,,,,,d24eb1f4-8409-49b8-8bcc-53defc9b58a5
10.705675600000063,53.838612500000067,12,Blutspendedienst,clinic,,,Universitätsklinikum Schleswig-Holstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,10cca9eb-e2ad-4460-90f8-8d5ba049c98c
10.686183100000051,53.625871,13,Praxisklinik DRK Mölln,clinic,clinic,,,,,,,,,,Wasserkrüger Weg,7,23879,Mölln,,,,,,,,,,,,,,,,,7878f0ef-6920-49df-864f-4570bf252e71
9.492145400000027,47.674217900000031,14,Psychiatrische Tagesklinik,clinic,clinic,,,,,,,,,,Merkurstraße,4,,,,,,,,,,,no,,,,,,,,548d8bce-3772-4a1e-8b43-e63b7556d9e4
11.669309,48.054168,15,Medizinisches Versorgungszentrum Ottobrunn,clinic,,,,,+49 89 6087520,http://www.mvz-ottobrunn.de,info@mvz-ottobrunn.de,+49 89 60875252,,,Rosenheimer Landstraße,129a,85521,Hohenbrunn,,,,,,,,,no,,,,yes,,,,9f690742-f4f0-40ef-8365-dd2a5357a7f3
7.457438500000023,50.360671300000035,16,Therapiezentrum für Suchtkrankheiten,clinic,clinic,,,,,,,,,,Hospitalstraße,16,56220,Bassenheim,,,,,,,,,,,,,,,,,27f0b58e-010d-49d9-b55f-e9d8761e74ce
9.358447700000056,50.288714,17,Knappschaftsklinik,clinic,rehabilitation,,,,,,,,,,Knappschaftsweg,2,63628,Bad Soden-Salmünster,,,,,,,,,,,,,,,,,9da1ab85-2640-47a2-bbed-13c162a7fdbb
12.574703600000078,51.290694200000075,18,Sachsen-Klinik Naunhof,clinic,clinic,orthopaedics,BfS Betreibergesellschaft für Sozialeinrichtungen mbH,,+49 3429340 0,http://www.sachsen-klinik.de/,,,,,Eichaer Straße,44,04683,Naunhof,,Erdmannshain,,,,,,,,,,,yes,,,,45c8f7af-8fee-4d19-897f-085eede2b8e9
10.527184500000033,50.140622200000053,19,Haßberg-Kliniken Haus Hofheim,clinic,clinic,"internal,cardiology",,,,,,,,,,,,,,,,,,,,,,,,,limited,,,,bb7b99a3-7aee-4cf9-abdd-9c8dadcc4b51
11.764694,49.496746,20,KfH-Nierenzentrum,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77d12963-fcc4-4aa3-b951-278009395d27
12.996166100000039,51.398568,21,MEDIAN Christiaan-Barnard-Klinik Schmannewitz,clinic,clinic,,MEDIAN Unternehmensgruppe B.V. & Co. KG,,,,,,,,Waldstraße,4,04774,Dahlen,,,,,,,,,,,,,,,,,2173e281-4a41-47cf-b04e-02143ddc5b08
