"nameCompany","streetAddress","postalCode","addressLocality"
"Lidl","Adorfer Str. 49","08258","Markneukirchen-Siebenbrunn"
"Lidl","Holzhofstr. 4","08248","Klingenthal"
"Lidl","Schleizer Str. 49","07926","Gefell"
"Lidl","Zum Tännig 2","07356","Bad Lobenstein"
"Lidl","Plauensche Str. 67","08606","Oelsnitz/Vogtl."
"Lidl","Hofer Str. 21","08527","Plauen"
"Lidl","Göltzschtalstr. 47","08209","Auerbach"
"Lidl","Geraer Str. 21","07907","Schleiz"
"Lidl","Lengenfelder Str. 3","08228","Rodewisch"
"Lidl","Oststr. 96","08233","Treuen"
"Lidl","Melanchthonstr. 34","07318","Saalfeld/Saale"
"Lidl","Fingersteinstr. 22","07318","Saalfeld/Saale"
"Lidl","Karlsbader Str. 42","08340","Schwarzenberg"
"Lidl","Schopperstr. 32c","07937","Zeulenroda"
"Lidl","Zwickauer Str. 97","08468","Reichenbach"
"Lidl","August-Bebel-Str. 21","07973","Greiz-Irchwitz"
"Lidl","Kobaltstr. 2 a","08289","Schneeberg"
"Lidl","Neustädter Str. 149","07381","Pößneck"
"Lidl","Dr.-Otto-Nuschke-Str. 9","08280","Aue"
"Lidl","Schwarzburger Chaussee 59-61","07407","Rudolstadt-Volkstedt"
"Lidl","Frenzelstr. 2","07407","Rudolstadt-Volkstedt"
"Lidl","Schleizer Str. 10","07806","Neustadt/Orla"
"Lidl","Zwickauer Str. 39","08112","Wilkau-Haßlau"
"Lidl","Chemnitzer Str. 42","09456","Annaberg-Buchholz"
"Lidl","Am Fuchsgraben 21","08056","Zwickau-Schedewitz"
"Lidl","Marienthaler Str. 53","08060","Zwickau"
"Lidl","Crimmitschauer Str. 8","08412","Werdau"
"Lidl","Christian-Eckhardt-Str. 40","07768","Kahla"
"Lidl","Leipziger Str. 168","08058","Zwickau"
"Lidl","Stollberger Str. 7","09399","Niederwürschnitz"
"Lidl","Chemnitzer Str. 27","09366","Stollberg-Hoheneck"
"Lidl","Amselstr. 2","08451","Crimmitschau"
"Lidl","Str. des Friedens 32/34","07548","Gera"
"Lidl","Hans-Lorenz-Str. 1","08371","Glauchau"
"Lidl","Äußere Crimmitschauer Str. 86","08393","Meerane-Waldsachsen"
"Lidl","Rudolstädter Str. 31","07743","Jena"
"Lidl","Langenberger Str. 21","07552","Gera-Langenberg"
"Lidl Vertriebs GmbH & Co. KG","Am Flugplatz 5","07546","Gera-Trebnitz"
"Lidl","Dresdner Str. 122","09337","Hohenstein-Ernstthal"
"Lidl","Eisenberger Str. 120","07629","Hermsdorf"
"Lidl","Str. des Bergmanns 10","07545","Gera"
"Lidl","Paul-Bertz-Str. 14","09120","Chemnitz-Helbersdorf"
"Lidl","Ronneburger Str. 118 A","04626","Schmölln"
"Lidl","Camburger Str. 26","07743","Jena"
"Lidl","Zwickauer Str. 391 - 393","09117","Chemnitz-Siegmar"
"Lidl","Zwickauer Str. 160","09116","Chemnitz-Kappel"
"Lidl","Wilhelm-Raabe-Str. 52","09120","Chemnitz-Altchemnitz"
"Lidl","Limbacher Str. 208","09116","Chemnitz-Altendorf"
"Lidl","Zschopauer Str. 184","09126","Chemnitz-Gablenz"
"Lidl","Chemnitzer Str. 40","09212","Limbach-Oberfrohna"
"Lidl","Limbacher Str. 31","09116","Chemnitz"
"Lidl","Fürstenstr. 5","09130","Chemnitz-Zentrum"
"Lidl","Jenaer Str. 1-5","07607","Eisenberg"
"Lidl","Eckstr. 4","09111","Chemnitz-Zentrum"
"Lidl","Augustusburger Str. 92 - 94","09557","Flöha"
"Lidl","Chemnitzer Str. 98a","09322","Penig-Tauscha"
"Lidl","Lödlaer Chaussee 2","04617","Lödla"
"Lidl","Kauerndorfer Allee 10","04600","Altenburg"
"Lidl","Geußnitzer Straße","06712","Zeitz"
"Lidl","Chemnitzer Str. 59","09669","Frankenberg"
"Lidl","Friedensstr. 27","06712","Zeitz"
"Lidl","Baderdamm 17","04610","Meuselwitz"
"Lidl","Wiesenmühlenweg 1","04654","Frohburg"
"Lidl","Bahnhofstr. 8-10","09648","Mittweida"
"Lidl","Olbernhauer Str. 45-47","09599","Freiberg"
"Lidl","August-Bebel-Str. 1","09661","Hainichen"
"Lidl","Salinenstr. 8","06628","Bad Kösen (Saale)"
"Lidl","Grimmaische Str. 37 - 39","04643","Geithain"
"Lidl","Rosa-Luxemburg-Str. 30","06618","Naumburg (Saale)"
"Lidl","Lobstädter Str. 17","04552","Borna"
"Lidl","Groitzscher Fußweg 1","04523","Pegau"
"Lidl","Alte Altenberger Str. 36","01744","Dippoldiswalde"
"Lidl","Hauptstr. 5","04736","Waldheim"
"Lidl","Merseburger Str. 72","06667","Weißenfels-Borau"
"Lidl","Trageser Str. 36","04567","Kitzscher"
"Lidl","Wassergasse 1","04680","Colditz"
"Lidl","Pegauer Str. 141","04442","Zwenkau"
"Lidl","Döbelner Str. 71","04741","Roßwein"
"Lidl","Röthaer Str. 30c","04564","Böhlen"
"Lidl","Freiberger Str. 56","01723","Wilsdruff"
"Lidl","Schlachthofstr. 2","04720","Döbeln"
"Lidl","Dresdner Str. 30 V","04720","Döbeln"
"Lidl","Merseburger Str. 79","06242","Braunsbedra"
"Lidl","Friedenstr. 7","06571","Roßleben"
"Lidl","Dresdner Str. 112","01705","Freital"
"Lidl","Hauptstr. 55/56","06577","Heldrungen"
"Lidl","Breite Str. 58","06231","Bad Dürrenberg-Lennewitz"
"Lidl","Bahnhofstr. 12","04668","Grimma"
"Lidl","Koburger Str. 45","04416","Markkleeberg"
"Lidl","Gabelsbergerstr. 8","01809","Heidenau"
"Lidl","Leipziger Str. 67","04420","Markranstädt-Kulkwitz"
"Lidl","Dieskaustr. 175","04249","Leipzig"
"Lidl","Südhöhe 38","01217","Dresden"
"Lidl","Dresdner Str. 9","01796","Pirna"
"Lidl","Georg-Palitzsch-Str. 16","01239","Dresden"
"Lidl","Chemnitzer Str. 68","01187","Dresden"
"Lidl","Großmiltitzer Str. 45","04205","Leipzig"
"Lidl","Stuttgarter Allee 2","04207","Leipzig"
"Lidl","Omsewitzer Ring 45","01169","Dresden"
"Lidl","Str. des Friedens 2","06217","Merseburg"
"Lidl","Rudolf-Renner-Str. 10","01796","Pirna"
"Lidl","Zwickauer Str. 66","04277","Leipzig-Marienbrunn"
