"nameCompany","streetAddress","postalCode","addressLocality"
"Netto Marken-Discount","Adorfer Str. 35","83454","Markneukirchen"
"Netto Marken-Discount","Adorfer Str. 35","08258","Markneukirchen"
"Netto Marken-Discount","Schützenstr. 15","08258","Markneukirchen"
"Netto Marken-Discount","Auerbacher str. 85","08248","Klingenthal"
"Netto Marken-Discount","Mühlenstr. 6","08248","Klingenthal"
"Netto Marken-Discount","Bachstr. 10","08606","Oelsnitz-Vogtland"
"Netto Marken-Discount","Langer Weg 39","07356","Bad Lobenstein"
"Netto Marken-Discount","Oelsnitzer Str. 1a","08261","Schöneck"
"Netto Marken-Discount","Lützowstr. 1","08523","Plauen"
"Netto Marken-Discount","Moorstr. 2","08527","Plauen"
"Netto Marken-Discount","Anton-Kraus-Str. 8","08529","Plauen-Wartberg"
"Netto Marken-Discount","Beethovenstr. 4","08223","Falkenstein"
"Netto Marken-Discount","Plauensche Str. 47","08223","Falkenstein"
"Netto Marken-Discount","Pausaer Str. 15","08525","Plauen"
"Netto Marken-Discount","Schlachthofstr. 23","08525","Plauen"
"Netto Marken-Discount","Am Pulverturm 1","08349","Johanngeorgenstadt"
"Netto Marken-Discount","Hauptstr. 282","07919","Mühltroff"
"Netto Marken-Discount","Göltzschtalstr. 79 d","08209","Auerbach-Vogtland"
"Netto Marken-Discount","Friedrich-Müller-Str. 2","07338","Leutenberg"
"Netto Marken-Discount","Dr.-Wilhelm-Külz-Str. 8","08209","Auerbach"
"Netto Marken-Discount","Klingenthaler Str. 3","08209","Auerbach"
"Netto Marken-Discount","Bahnhofstr. 20","08209","Auerbach"
"Netto Marken-Discount","Hauptstr. 117","08304","Schönheide"
"Netto Marken-Discount","Oschitzer Str. 14a","07907","Schleiz"
"Netto Marken-Discount","Auerbacher Str. 15","08228","Rodewisch"
"Netto Marken-Discount","Rudolf-Breitscheid-Str. 17","08233","Treuen"
"Netto Marken-Discount","Heinrich-Heine-Str. 3","08233","Treuen"
"Netto Marken-Discount","Franz-Theodor-Strauß-Str. 2 a","07952","Pausa"
"Netto Marken-Discount","Am Bahnhof 9","08237","Steinberg-Rothenkirchen"
"Netto Marken-Discount","Bahnhofstr. 26","07985","Elsterberg-Vogtland"
"Netto Marken-Discount","Elsterberger Str. 07","08491","Netzschkau"
"Netto Marken-Discount","Eibenstocker Str. 29","08340","Schwarzenberg"
"Netto Marken-Discount","Str. des Friedens 16","08352","Raschau"
"Netto Marken-Discount","Rasenweg 2","07318","Saalfeld"
"Netto Marken-Discount","Dammsteinstr. 1","08468","Reichenbach"
"Netto Marken-Discount","Garsitzer Str. 1","07426","Königsee"
"Netto Marken-Discount","Alte Auer Str. 19","08312","Lauter"
"Netto Marken-Discount","Kobaltstr. 51","08289","Schneeberg-Neustädtel"
"Netto Marken-Discount","Zwickauer Str. 203","08468","Reichenbach"
"Netto Marken-Discount","Sachsenfelder Str. 67","08340","Schwarzenberg"
"Netto Marken-Discount","Karlsbader Str. 57","09465","Sehmatal-Sehma"
"Netto Marken-Discount","Annaberger Str. 163","09474","Crottendorf"
"Netto Marken-Discount","August-Bebel-Str. 104","08344","Grünhain-Beierfeld"
"Netto Marken-Discount","Zwickauer Str. 52","08289","Schneeberg"
"Netto Marken-Discount","Gustav-Töpfer-Str. 3 a","07422","Bad Blankenburg"
"Netto Marken-Discount","Heinrich-Mann-Ring 21","07973","Greiz"
"Netto Marken-Discount","Robert-Seidel-Str. 6","08107","Kirchberg"
"Netto Marken-Discount","Mühlstr. 4","07381","Pößneck"
"Netto Marken-Discount","Neue Schulstr. 61","07407","Rudolstadt"
"Netto Marken-Discount","Auer Str. 8","08315","Bernsbach"
"Netto Marken-Discount","Dr.-O.-Nuschke-Str. 7","08280","Aue"
"Netto Marken-Discount","Am Triebesgrund 4","07950","Triebes"
"Netto Marken-Discount","Hauptstr. 55","07950","Zeulenroda-Triebes"
"Netto Marken-Discount","Auer Talstr. 34","08301","Bad Schlema"
"Netto Marken-Discount","Theodor-Neubauer-Str. 41","07407","Rudolstadt"
"Netto Marken-Discount","Friedrich-Adolf-Richter-str. 11","07407","Rudolstadt"
"Netto Marken-Discount","Oststr. 31","07407","Rudolstadt"
"Netto Marken-Discount","Wiesenstr. 7","08294","Lößnitz"
"Netto Marken-Discount","Schleizer Str. 19","07806","Neustadt-Orla"
"Netto Marken-Discount","Bärensteiner Str. 31","09456","Annaberg-Buchholz"
"Netto Marken-Discount","Lengenfelder Str. 95","08064","Zwickau-Planitz"
"Netto Marken-Discount","Sachsenplatz 2","08112","Wilkau-Haßlau"
"Netto Marken-Discount","Cainsdorfer Str. 29","08112","Wilkau-Haßlau"
"Netto Marken-Discount","Geraer Str. 53","07819","Triptis"
"Netto Marken-Discount","Bahnhofplatz 5","09456","Annaberg-Buchholz"
"Netto Marken-Discount","Schneeberger Str. 81 a","08112","Wilkau-Haßlau"
"Netto Marken-Discount","Geyersdorfer Hauptstr. 47","09456","Annaberg-Buchholz"
"Netto Marken-Discount","Wiesenstr. 1-3","08297","Zwönitz"
"Netto Marken-Discount","Annaberger Str. 32","08297","Zwönitz"
"Netto Marken-Discount","Neuplanitzer Str.","08062","Zwickau"
"Netto Marken-Discount","Hermann-Krasser-Str. 42","08062","Zwickau"
"Netto Marken-Discount","Innere Zwickauer Str. 21","08062","Zwickau"
"Netto Marken-Discount","Dresdner Str. 12","09456","Annaberg-Buchholz"
"Netto Marken-Discount","Lichtensteiner Str. 38","08118","Hartenstein bei Zwickau"
"Netto Marken-Discount","Greizer Str. 87 a","08412","Werdau-Leubnitz"
