"nameCompany","streetAddress","postalCode","addressLocality"
"Total","Hofer Str. 38","07926","Gefell"
"Total","Hofer Str. 38","07926","Gefell"
"Total","Klingenthaler Str. 3","08261","Schoeneck"
"Total","Klingenthaler Str. 3","08261","Schoeneck"
"Total","Friedrich-Eckardt-Str. 2","08529","Plauen"
"Total","Friedrich-Eckardt-Str. 2","08529","Plauen"
"Total","Zur Sternkoppel 5","08228","Rodewisch"
"Total","Zur Sternkoppel 5","08228","Rodewisch"
"Total","Innere Herlasgruener Str. 17","08233","Treuen"
"Total","Innere Herlasgruener Str. 17","08233","Treuen"
"Total","Lengenfelder Str. 4A","08228","Rodewisch"
"Total","Lengenfelder Str. 4A","08228","Rodewisch"
"Total","Gewerbering 9","08468","Heinsdorfergrund"
"Total","Gewerbering 9","08468","Heinsdorfergrund"
"Total","Kronacherstr. 9","07333","Unterwellenborn"
"Total","Kronacherstr. 9","07333","Unterwellenborn"
"Total","Rudolstaedter Str. 13","07318","Saalfeld"
"Total","Rudolstaedter Str. 13","07318","Saalfeld"
"Total","Zeulenrodaer Str. 31","07973","Greiz"
"Total","Zeulenrodaer Str. 31","07973","Greiz"
"Total","Neustaedter Str. 162","07381","Poessneck"
"Total","Neustaedter Str. 162","07381","Poessneck"
"Total","Loessnitzer Str. 87","08280","Aue"
"Total","Loessnitzer Str. 87","08280","Aue"
"Total","Hartensteiner Str. 11","08297","Zwoenitz"
"Total","Hartensteiner Str. 11","08297","Zwoenitz"
"Total","Inn.Zwickauer Str. 29","08062","Zwickau"
"Total","Inn.Zwickauer Str. 29","08062","Zwickau"
"Total","Dresdner Str. 5","09456","Annaberg-Buchholz"
"Total","Dresdner Str. 5","09456","Annaberg-Buchholz"
"Total","Arno-Schmidt-Str. 28A","08134","Haertensdorf"
"Total","Arno-Schmidt-Str. 28A","08134","Haertensdorf"
"Total","Reichenbacher Str. 115","08056","Zwickau"
"Total","Reichenbacher Str. 115","08056","Zwickau"
"Total","Aeussere Dresdner Straße","08066","Zwickau"
"Total","Aeussere Dresdner Straße","08066","Zwickau"
"Total","Oberwuerschnitzer Str. 8/10","09376","Oelsnitz/Erzgeb.."
"Total","Oberwuerschnitzer Str. 8/10","09376","Oelsnitz/Erzgeb.."
"Total","Fritz-Reuter-Str. 21","09423","Gelenau"
"Total","Fritz-Reuter-Str. 21","09423","Gelenau"
"Total","Aeuss.Wolkensteiner Str. 3","09496","Marienberg"
"Total","Aeuss.Wolkensteiner Str. 3","09496","Marienberg"
"Total","Hohensteiner Str. 44","09385","Lugau"
"Total","Hohensteiner Str. 44","09385","Lugau"
"Total","Werdauer Str. 35","08451","Crimmitschau"
"Total","Werdauer Str. 35","08451","Crimmitschau"
"Total","Heeresbergstr. 3","07549","Gera"
"Total","Heeresbergstr. 3","07549","Gera"
"Total","Obere Hauptstr. 44","09235","Burkhardtsdorf"
"Total","Obere Hauptstr. 44","09235","Burkhardtsdorf"
"Total","Industrieweg 2","08393","Meerane"
"Total","Industrieweg 2","08393","Meerane"
"Total","Goeschwitzer Str. 1","07745","Jena"
"Total","Goeschwitzer Str. 1","07745","Jena"
"Total","Bab 4 / Altenburger Land-Sued","04626","Schmoelln Ot Weissbach"
"Total","Bab 4 / Altenburger Land-Sued","04626","Schmoelln Ot Weissbach"
"Total","Waldenburger Str. F 175","08371","Glauchau"
"Total","Waldenburger Str. F 175","08371","Glauchau"
"Total","Dresdner Str. 106","09337","Hohenstein-Ernstthal"
"Total","Dresdner Str. 106","09337","Hohenstein-Ernstthal"
"Total","Blumenauer Str. 9","09526","Olbernhau"
"Total","Blumenauer Str. 9","09526","Olbernhau"
"Total","Eisenberger Straße","07629","Hermsdorf"
"Total","Eisenberger Straße","07629","Hermsdorf"
"Total","Leibnizstr. 74","07548","Gera"
"Total","Leibnizstr. 74","07548","Gera"
"Total","Waldenburger Str. 115","08371","Glauchau"
"Total","Waldenburger Str. 115","08371","Glauchau"
"Total","Floehatalstr. 2A","09509","Pockau-Lengefeld"
