X,Y,OBJECTID,INDEX_NO,REGION_NO,PORT_NAME,COUNTRY,LATITUDE,LONGITUDE,LAT_DEG,LAT_MIN,LAT_HEMI,LONG_DEG,LONG_MIN,LONG_HEMI,PUB,CHART,HARBORSIZE,HARBORTYPE,SHELTER,ENTRY_TIDE,ENTRYSWELL,ENTRY_ICE,ENTRYOTHER,OVERHD_LIM,CHAN_DEPTH,ANCH_DEPTH,CARGODEPTH,OIL_DEPTH,TIDE_RANGE,MAX_VESSEL,HOLDGROUND,TURN_BASIN,PORTOFENTR,US_REP,ETAMESSAGE,PILOT_REQD,PILOTAVAIL,LOC_ASSIST,PILOTADVSD,TUGSALVAGE,TUG_ASSIST,PRATIQUE,SSCC_CERT,QUAR_OTHER,COMM_PHONE,COMM_FAX,COMM_RADIO,COMM_VHF,COMM_AIR,COMM_RAIL,CARGOWHARF,CARGO_ANCH,CARGMDMOOR,CARBCHMOOR,CARICEMOOR,MED_FACIL,GARBAGE,DEGAUSS,DRTYBALLST,CRANEFIXED,CRANEMOBIL,CRANEFLOAT,LIFT_100_,LIFT50_100,LIFT_25_49,LIFT_0_24,LONGSHORE,ELECTRICAL,SERV_STEAM,NAV_EQUIP,ELECREPAIR,PROVISIONS,WATER,FUEL_OIL,DIESEL,DECKSUPPLY,ENG_SUPPLY,REPAIRCODE,DRYDOCK,RAILWAY
146.833333332923104,43.866666666397464,1,61090,61070,SHAKOTAN,RU,43.866667,146.833333,43,52,N,146,50,E,155,96902,V,CN,G, , , , , ,K,G,O, ,3, , , , , , , , , , , , , , , , , ,Y, , , , ,Y, , , ,Y, , , , , , , , , , , , , , , , , , , , , , , , 
143.349999999858369,44.349999999740419,2,61110,61100,MOMBETSU KO,JP,44.35,143.35,44,21,N,143,21,E,158,96906,V,CB,G, ,Y,Y,Y, ,J,J,J, ,3, ,N, ,Y,N,Y,N,Y, , , , ,Y, ,Y, , , ,Y,Y,Y,Y, , , , ,Y, , ,Y, , , , , , , ,Y, , , , , ,Y, ,Y, , ,C, , 
144.283333333128297,44.016666666426481,3,61120,61100,ABASHIRI KO,JP,44.016667,144.283333,44,1,N,144,17,E,158,96906,S,CB,G, ,Y,Y,Y,Y,M,G,J, ,2,M, , ,Y,Y,Y,N,Y, , , ,Y,Y, , ,Y,Y,Y, ,Y,Y,Y,Y, , , ,Y, , , , , ,N, , , , ,Y, , , , , ,Y, ,Y, , ,C, , 
145.583333333745884,43.33333333324849,4,61130,61100,NEMURO KO,JP,43.333333,145.583333,43,20,N,145,35,E,158,96764,S,CB,F, ,Y,Y,Y, ,M,G, , ,2,M,N, ,Y, , , , , , , , , , , ,Y,Y, , , ,Y,Y,Y, , , ,Y, , , , , , , , , , , , , , , ,Y,Y,Y, , , , , , 
145.583333333745884,43.28333333342318,5,61140,61100,HANASAKI KO,JP,43.283333,145.583333,43,17,N,145,35,E,158,96764,V,CB,F, ,Y,Y,Y, ,H,K,K, ,3,L,Y, ,Y, , , , , , , , , , , , , , , , , , ,Y, , , , , , , , , , , , , , , , , , , , ,Y,Y, , , , , , 
144.366666667065573,42.98333333330897,6,61160,61100,KUSHIRO KO,JP,42.983333,144.366667,42,59,N,144,22,E,158,96763/2,M,CB,G,N,N,Y,Y,Y,K,K,G,J,2,L,Y,Y,Y, ,Y,N,Y, ,Y, ,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y, , , , ,Y,Y, ,N, , ,Y, ,Y, , ,Y,Y, , , ,Y,Y,Y,Y,Y,Y,C, ,M
141.633333333147817,42.63333333352314,7,61165,61100,TOMAKOMAI KO,JP,42.633333,141.633333,42,38,N,141,38,E,158,96961/2,S,CB,E,N,Y,N,Y,Y,G,G,G,F,2,L,N,Y,Y,N,Y,N,Y, ,Y, ,Y,Y, ,Y,Y,Y,Y,Y,Y, ,Y, , , , ,Y,Y, ,Y,Y,Y, , , , , , , , , , , ,Y,Y, , , ,C,S, 
140.96666666703976,42.350000000131715,8,61170,61100,MURORAN KO,JP,42.35,140.966667,42,21,N,140,58,E,158,96949,M,CN,G,Y,N,N,Y,Y,F,L,F,G,1,L,Y,Y,Y,N,Y,N,Y, ,Y, ,Y,Y,Y, ,Y,Y,Y,Y, ,Y,Y, , , , ,Y,Y, ,Y,Y,Y, , ,Y,Y,Y,Y, , , , , ,Y,Y, , , ,A,M,L
140.58333333344379,42.116666666477919,9,61180,61100,MORI,JP,42.116667,140.583333,42,7,N,140,35,E,158,96948,V,OR,P, ,Y, , , ,J,J,O, ,4,M, , , , , , , , , , , , , , , ,Y, , , ,Y, ,Y, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
140.716666667024668,41.783333333213314,10,61190,61100,HAKODATE KO,JP,41.783333,140.716667,41,47,N,140,43,E,159,96947/3,M,CB,E,N,N,N,Y, ,K,E,G,G,1,L,Y,Y,Y,N,Y,N,Y, ,Y,N,Y,Y, ,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y, , ,Y,Y, ,Y,Y,Y,Y,Y,Y, , ,Y, , , , ,Y,Y,Y,Y,Y,Y,B,M,L
