"plz","intensivkliniken","land","krs"
1129,1,"SN",14612
1307,2,"SN",14612
1454,1,"SN",14625
1477,1,"SN",14625
1558,1,"SN",14627
1640,1,"SN",14627
1829,1,"SN",14628
1844,1,"SN",14628
1917,1,"SN",14625
1936,1,"SN",14625
2763,1,"SN",14626
2827,1,"SN",14626
3048,1,"BB",12052
3130,1,"BB",12071
4103,2,"SN",14713
4129,1,"SN",14713
4289,2,"SN",14713
4552,1,"SN",14729
4600,2,"TH",16077
4758,1,"SN",14730
4779,1,"SN",14730
4916,1,"BB",12062
6110,1,"ST",15002
6112,1,"ST",15002
6114,1,"ST",15002
6120,2,"ST",15088
6120,2,"ST",15002
6217,1,"ST",15088
6366,1,"ST",15082
6667,1,"ST",15084
6869,1,"ST",15091
7548,1,"TH",16052
7747,1,"TH",16053
8060,2,"SN",14524
8359,1,"SN",14521
8412,1,"SN",14524
9117,1,"SN",14511
9130,1,"SN",14511
9232,1,"SN",14522
9350,1,"SN",14524
9405,1,"SN",14521
9599,1,"SN",14522
9648,1,"SN",14522
10115,1,"BE",11000
10245,1,"BE",11000
10249,1,"BE",11000
10365,2,"BE",11000
10713,2,"BE",11000
10785,1,"BE",11000
12101,1,"BE",11000
12157,1,"BE",11000
12249,1,"BE",11000
12351,2,"BE",11000
12559,1,"BE",11000
12683,1,"BE",11000
13125,3,"BE",11000
13187,1,"BE",11000
13353,3,"BE",11000
13467,1,"BE",11000
13509,2,"BE",11000
13585,1,"BE",11000
13589,1,"BE",11000
14050,1,"BE",11000
14089,1,"BE",11000
14163,1,"BE",11000
14193,1,"BE",11000
14467,1,"BB",12054
14471,1,"BB",12054
14547,1,"BB",12069
14641,1,"BB",12063
14712,1,"BB",12063
14770,1,"BB",12051
14943,1,"BB",12072
14943,1,"BB",12069
15236,1,"BB",12064
15236,1,"BB",12067
15236,1,"BB",12053
15711,1,"BB",12061
15755,1,"BB",12061
15890,1,"BB",12067
15907,1,"BB",12061
16225,1,"BB",12060
16278,1,"BB",12073
16303,1,"BB",12073
16321,1,"BB",12060
16547,1,"BB",12065
16766,1,"BB",12065
16816,1,"BB",12068
16866,1,"BB",12068
16866,1,"BB",12070
16928,1,"BB",12070
17109,1,"MV",13071
17166,1,"MV",13072
17192,2,"MV",13071
17235,1,"MV",13071
17268,1,"BB",12073
17291,1,"BB",12073
17309,1,"MV",13075
18055,1,"MV",13003
18057,2,"MV",13003
18147,1,"MV",13003
18209,1,"MV",13072
18435,1,"MV",13073
18528,1,"MV",13073
19348,1,"BB",12070
19370,1,"MV",13076
20099,1,"HH",2000
20251,1,"HH",2000
20259,1,"HH",2000
21029,1,"HH",2000
21075,2,"HH",2000
21335,1,"NI",3355
21682,1,"NI",3359
22043,1,"HH",2000
22049,1,"HH",2000
22087,1,"HH",2000
22149,1,"HH",2000
22297,1,"HH",2000
